"whole","cyto","nuc"
48,16.91,4.94
9.83,2.86,3.97
50.17,22.6,49.49
1056.32,1197.63,2747.46
225.86,94.8,322.88
27.42,111.73,229.76
9.5,3.42,15.62
0,0,0
0,0,0
13.17,5.34,3.67
17.39,78.39,62.61
11.42,2.81,6.85
20.37,5.34,3.62
0.08,0.08,0.18
10.54,10.37,11.65
166.58,140.86,54.49
0.04,0.03,0.1
0,0,0
140.29,54.27,18.8
144.2,36.29,16.95
0.8,0.21,0.46
81.46,36.85,14.41
81.01,9.05,7.14
0,0,0
69.26,82.44,204.15
10.24,3.36,3.09
42.92,11.48,35.62
32.49,18.65,40.67
46.48,27.93,36.83
0.53,2.03,5.41
226.24,70.54,42.36
0.25,0.05,0.08
0,0,0
0.09,0.04,0.03
1.39,1.8,2.11
31.46,37.68,41.36
0.3,0.01,0.02
4.73,1.46,4.54
6.29,4.79,0.45
33.37,14.81,11.42
0.17,0.04,0.2
11.12,3.95,3.67
11.94,12.45,63.31
34.46,33.59,42.62
1.29,0.57,1.35
30.02,18.34,84.82
0.02,0.01,0
7.74,1.91,1.13
0.54,0.01,0.12
0,0,0
10.9,2.57,3.66
0.02,0,0.01
0.55,0.29,0.27
0,0,0.01
0.22,0.02,0.01
0,0,0.01
0,0,0
25.2,24.15,33.08
2.99,0.57,0.72
1.16,8,12.47
1.65,1.38,3.99
11.98,2.45,2.9
0,0,0
0,0,0
0.72,0.32,1.32
29.51,8.58,2.64
39.68,6.57,4.06
27.91,7.78,5.3
5.96,0.58,0
0.01,0,0
0.76,0.28,1.12
101.4,64.1,34.39
81.54,110.23,80.49
0.02,0.01,0.02
22.64,5.63,5.66
0,0,0
36.68,9.53,8.66
2.03,3.43,10.44
3.7,1.74,8.89
13.66,21.45,77.09
11.53,3.52,3.56
55.18,23.81,28.86
21.66,35.1,457.17
38.57,4.82,4.93
0.01,0.01,0
0.06,0.04,0.07
28.66,7.04,4.96
2.02,4.89,28.55
0.01,0.01,0.03
21.21,12.34,4.01
0,0,0
48.23,34.61,56.83
10.46,14.92,28.47
0.01,0.01,0
0,0,0
8.3,3.91,1.9
0,0,0
1.29,0.04,0
15.03,5.74,3.43
0,0,0
5.38,0.63,0.27
68.41,10.37,6.9
29.22,4.09,0.91
8.92,4.65,1.68
0,0,0
24.72,64.76,71.19
1.63,0.62,0.87
0,0,0
0.06,0.1,0.11
22.09,4.1,1.72
0,0,0
24.54,8.04,6.9
16.16,4.94,2.09
17.31,3.9,1
0.46,0.1,0.39
7.63,3.13,1.7
4.17,0.61,1.05
31.63,4.19,3.49
0,0,0
0,0,0
1090.43,384.06,81.88
38.18,11.71,3.89
82.39,52.58,44.77
1.6,2.79,3.27
10.21,3.05,1.7
0,0,0
18.9,3.66,1.87
31.41,17.86,27.35
0.01,0,0
0,0,0
38.92,8.19,12.47
0.11,0.03,0.03
0,0,0
57.21,209.56,407.63
0,0,0
0.03,0.01,0.02
0,0,0
0.02,0.01,0.02
0.02,0,0
78.12,45.22,33.77
106.88,30.14,29.69
0.06,0,0.01
0.15,0.16,0.13
0,0,0
43.13,18.09,31.88
41.71,19.18,12.66
0,0,0
4.46,1.16,0.5
93.7,73.9,112.82
0.06,0.01,0.08
0,0.01,0
30.23,5.46,3.83
36.08,15.55,3.82
2.38,10.53,29.35
28.34,20.64,75.55
1203.2,549.17,177.31
5.88,1.72,2.28
0,0,0
0.41,0.29,0.51
10.63,2.56,1.43
0.25,0.06,0.08
11.92,6.19,4.11
16.24,2.64,2.45
3.48,1.5,1.44
13.91,2.41,1.03
3.43,8.64,20.89
6.97,1.33,0.95
11.91,4.26,3.63
5.19,6.1,57
0,0,0
225.51,48.32,23.48
10.76,15.16,50.43
0,0,0
27.5,14.88,10.03
36.17,13.51,13.53
134.12,66.47,48.59
450.48,491.71,148.77
0.14,0.09,0.05
0,0,0
0,0.02,0
10.23,6.01,1.81
2.51,2.32,1.7
0.11,0.02,0.07
98.44,41.26,143.84
27.09,9.62,4.04
44.68,15.39,6.26
62.8,34.06,12.98
4.87,3.94,27.5
0,0.01,0
23.2,19.94,11.13
0.57,3.15,3.35
19.19,6.38,4.03
4.7,5.41,3.75
22.35,8.79,4.75
153.96,198.39,137.45
6.33,2.67,2.4
0.28,0.25,0
0,0,0
0.03,0,0
30.5,10.42,12.39
0.01,0,0
0.12,0.05,0.39
25.19,4.07,3.18
0.02,0.08,0.09
6.94,1.47,3.13
9.03,2.09,2.3
52.59,33.4,24.88
78.57,34.25,39.44
0.02,0,0
0.09,0.14,0.05
0,0,0
0,0.01,0
63.93,58.54,106.99
67.25,21.63,8.69
10.45,6.54,15.61
38.46,5.47,5.27
0,0,0
84.22,19.82,4.77
0.95,0.2,0.66
40.52,11.42,14.19
34.96,5.16,3.69
10.6,3.15,8.55
58.09,110.6,66.12
26.52,7.3,1.71
11.3,12.46,44.34
18.19,11.19,55.24
30.05,9.01,5.77
5.33,7.3,27.75
0.83,0.52,0.33
4.44,1.17,0.23
46.08,71.18,148.84
53.51,9.86,14.32
7.46,9.08,7.4
50.56,11.36,2.66
5.58,1.2,0.68
0.17,0.13,0.27
1.67,0.32,0.31
4.59,0.56,0.61
28.9,11.63,5.08
0,0,0
33.43,5.61,2.89
62.87,32.39,36.54
237.99,177.8,143.77
43.86,128.88,568.66
20.08,38.86,51.25
79.48,223.47,107.31
14.99,13.4,84.75
3.23,8.98,12.63
31.33,74.56,125.21
0,0,0
0,0,0
6.84,11.59,2.1
71.55,78.09,48.24
4.28,1.2,5.34
9.99,1.6,1.75
3.67,0.32,1.88
56.18,27.47,16.94
26.55,10.73,5.02
18.38,6.16,4.27
0.07,0.01,0.14
67.27,34.19,12.59
30.16,35.94,26.42
0.01,0,0
0.38,0.18,0.65
0.05,0,0.01
0.08,0.11,0.18
642.93,699.33,288.27
132.65,26.39,23.08
104.78,61,30.3
61.63,113.29,742.73
0.06,0.01,0.06
4.86,5.37,5.14
65.34,69.89,60.38
8.83,5.34,42.47
0.55,0.21,0.34
94.22,142.5,121.36
0.68,0.16,0.27
0.01,0,0.04
2.17,2.2,6.64
30.82,31.66,35.46
2080.3,4405.23,3373.89
10.48,5.2,3.3
17.78,10.7,13.52
0,0,0
0.07,0.05,0.16
0,0,0
56.03,20.51,10.01
14.77,5.41,5.39
89.66,88.36,268.45
0,0,0.01
0.07,0,0
80.45,17.81,4.94
41.89,14.25,2.99
9.06,1.41,2.26
0,0,0
0,0,0
442.44,152.36,105.43
0,0,0
0.11,0.02,0.01
0,0,0
12.59,2.02,1.35
0.04,0.02,0.02
0,0,0
0,0,0
20.84,9.56,3.35
25.83,6.53,3.61
17.67,4.38,4.06
7.35,1.94,1.02
3.4,0.38,0.47
0.05,0,0
35.99,3.75,5.04
9.46,3.75,15.92
36.84,4.6,3.26
5.98,12.12,18.22
0.77,1.18,0.79
0.3,0.02,0.03
19.86,3.84,2.59
23.32,12.69,10.07
31.67,3.73,1.91
13.24,34.12,34.01
33.28,41.75,146.01
5.17,1.63,2.92
3.76,0.14,0.09
0.43,0.77,1.11
0,0,0.01
1.73,0.27,0.16
0.07,0.02,0.19
15.86,11.43,35.37
9.5,9.07,23.77
4.23,1.09,0.33
360.08,648.35,237.41
1.69,0.81,0.46
159.03,26.37,41.27
7.72,9.93,39.41
28.96,54.8,137.45
0.63,0.41,5.06
0.02,0,0
11.85,18.01,64.38
0,0,0.01
14.8,26.1,153.83
3.24,10.11,27.16
0,0,0
0.02,0,0
0.01,0.03,0.03
0.54,0.06,0.03
9.77,3.52,1.97
0.85,0.58,0.42
0.49,0.13,1.98
3.14,6.34,14.33
44.81,2.77,1.01
0.27,0.11,0.02
8.34,3.48,7.2
3.28,7.31,18.38
0.01,0,0
2.68,9.56,5.36
0.01,0.01,0.02
21.95,9.81,10.56
102.54,20.61,23.76
50.63,62.43,103.89
0,0,0
0.02,0.13,0.32
16.83,12.65,17.01
30.02,16.67,13.01
4.69,1.22,1.09
52.32,41.47,7.78
15.67,2.74,7.94
28.19,25.62,133.23
2.55,2.73,4.32
101.2,45.58,64.44
0.13,0.04,0
0,0,0
21.06,4.15,5.25
10.73,2.26,4.1
0,0,0
0.43,0.08,0.04
99.24,27.95,21.21
1.5,4.83,11.54
8.87,3.03,5.72
0.05,0.01,0.01
58.16,23.06,15.42
0.25,0.18,0.46
5.47,10.47,23.83
3.32,3.04,5.55
47.73,26.83,35.09
7.15,2.61,8.6
113.88,109.24,284.88
51.49,51.68,84.32
0,0,0
45.61,58.25,113.98
0,0,0
0,0,0
0,0,0
11.76,36.67,19.78
0.25,0.54,0.75
0,0.03,0
0.16,0,0.1
0,0.01,0.02
0.42,0.66,3.66
0.01,0,0.01
83.69,27.49,25
13.01,5.2,3.54
75.4,126.67,222.11
0.04,0.05,0.05
25.52,19.28,12.41
31.03,8.55,2.74
0.04,0.06,1.12
0.04,0,0.02
65.2,29.62,19.33
31.24,49.42,79.1
11.94,4.91,4.29
0.71,0.14,0.04
40.15,32.39,8.99
19.66,7.94,5.61
0,0.07,0.79
0.09,0.06,0
0.25,0.02,0.03
228.06,115.3,254.12
11.89,0.89,0.68
0.01,0,0.01
8.45,19.48,22.58
0,0,0
15.12,3.51,3.42
0.59,0.66,1.46
0.02,0.01,0.02
0,0,0
0,0,0
83.17,7.46,9.1
0,0,0
0,0,0
0.02,0.02,0.15
2.89,2.27,6.89
0.25,0.08,0.19
5.33,3.13,9.22
7.14,4.45,4.51
15.36,8.47,12.22
26.2,31,35.15
39.33,28.15,10.6
2.91,1.05,4.34
0,0,0.02
154.5,222.78,196.53
6.8,0.66,2.21
0.85,0.05,0.1
77.1,64.2,59.46
40.87,22.12,60.4
6.49,8.23,44.21
3.17,0.05,0.12
3.49,4.9,23.73
58.35,60.13,31.88
2.82,3.71,28.26
11.99,3.8,4.04
1.66,0.91,5.19
3.06,5.43,15.99
0,0,0
0.27,0.06,0.02
1373.05,2081.9,1052.53
0.71,0.62,1.03
11.94,4.01,4.02
24.93,13.24,13.19
0.64,0.02,0.66
7.82,7.75,9.94
4.71,3.19,6.33
0.08,0,0
24.26,21.67,28.61
0,0,0
16.14,22.91,27.18
0.09,0.18,1.38
0,0,0
0.03,0,0
41.58,59.28,17.09
0.15,0.06,0.47
2.09,0.15,0.25
145.59,58.18,62.94
19.83,3.39,6.36
73.8,24.23,8.34
0.05,0,0.06
0,0,0.01
3.7,1.15,5.13
130.2,27.36,8.43
18.63,8.74,9.28
0.18,0.09,0.18
13.04,3,1.19
11.94,6.58,4.83
7.96,0.99,1.93
37.71,8.85,15.04
38.35,28.23,8.75
80.75,56.76,17.93
0,0.01,0
0.27,0.17,0.72
0.01,0,0
0,0.02,0.03
59.35,25.45,18.54
0.01,0,0
0.59,0.07,0.19
0.02,0.01,0
53.91,16.33,29.82
0,0,0
0.05,0,0.01
21.49,9.52,56.19
0,0,0
0.06,0.03,0
74.29,19.54,46.15
128.78,73.74,52.8
0.66,0.39,3.24
0,0.02,0.05
2.54,3.76,26.38
290.03,86.83,106.91
0.56,0.81,4.44
47.24,18.1,25.92
0,0,0
52.57,117.13,129.26
36.87,23.55,26.81
109.59,64.95,74.33
70.66,57.34,85.43
0,0,0
0,0,0
5.22,1.19,0.45
14.53,8.38,15.4
8.5,1.77,1
0,0,0
32.88,7.45,9.92
0.82,0.37,0.46
4.64,2.39,2.07
66.77,11.12,15.3
4.07,6.16,19.74
0.02,0.05,0.13
8.5,7.32,18.67
10.65,5.53,1.88
12.49,15.42,10.67
12.33,7.97,7.69
0.02,0.02,0.01
188.83,171.38,23.47
0,0,0.02
11.59,13.6,7.49
9.37,2.58,2.09
0.6,0.11,0.11
0,0,0
5.85,5.19,22.86
0.85,0.5,0.43
6.08,3.84,15.61
0.38,0.01,0.99
0,0,0
0.52,0.1,0.28
6.89,7.49,37.24
118.73,132.14,78.01
31.55,25.07,190.46
7.22,8.22,13.9
93.89,156.96,406.42
11.21,23.97,23.26
53.86,42.48,38.32
41.3,130.46,288.34
26.55,18.65,107.29
5.77,4.3,5.38
9.69,7.34,2.44
9.9,2.57,2.46
21.43,11.52,17.78
0,0,0
0,0,0.03
13.62,48.23,387.92
39.75,61.26,245.99
0,0,0.02
0.75,0.33,1.92
0,0,0.03
17.05,56.65,250.01
0,0,0
0.07,0.18,0.38
0,0,0
3.47,86.45,81.58
0.74,0.3,0.48
0.84,0.14,0.17
0,0,0
13.37,80.93,79.01
0.77,0.4,0.76
19.09,4.68,1.79
38.41,8.67,29.79
0,0,0
14.96,3.18,7.96
5.04,3.23,4.98
5.53,4.49,6.94
0.47,0.2,0.54
24.36,52.85,52.07
7.51,17.87,21.46
21.35,121.31,156.95
4.12,5.67,12.76
0.06,0,0
90.16,16.32,21.73
56.83,9.5,8.33
1740.96,1795.18,308.65
0,0,0
9.79,2.14,0.38
7.54,14.36,31.96
70.97,10.09,32.39
4.9,9.07,34.94
23.24,37.72,70.89
52.7,31.4,73.24
0.19,0.01,0.24
21.13,67.61,464.74
22.14,15.42,17.78
738.35,971.17,307.21
4.05,3.52,4.89
15.1,21.88,97.74
44.78,44.33,98.92
70.57,76.96,277.13
54.2,3.36,7.95
0.4,0.29,0.71
29.73,16.98,24.6
0.18,0.01,0.08
0,0.13,2.85
0,0,0
5.63,9.87,31.94
0.1,0,0.01
0,0,0
25.33,25.88,57.61
0,0.01,0.03
6.19,1.62,2.14
0,0,0
0.01,0.01,0.01
27.22,43.19,65.55
127.44,94.42,191.03
0,0,0.01
67.09,61.62,27.69
0,0,0
181.39,106.8,260.97
13.36,3.04,2.41
0,0,0
8.68,4.75,14.14
368.35,844.6,867.04
30.8,77.5,113.77
8.94,11.69,16.8
42.88,28.4,99.79
0.32,0.08,0.08
12.56,8.39,35.62
26.63,1.25,1.31
0.14,0.08,0.05
0,0,0.01
0,0,0
72.38,13.35,3.76
4.44,2.02,1.75
321.67,277.33,58.57
0.1,0.01,0.11
97.13,52.84,18.46
31.66,9.75,12.08
0.02,0.03,0.15
40.82,27.47,19.1
42.36,66.99,115.95
0,0,0.01
0,0,0
22.39,8,3.43
0,0,0
2.49,2.18,18.47
2.38,5.58,17.78
0,0,0
0,0,0
54.01,196.49,132.93
0,0,0
0.01,0.14,0.65
20.88,50.37,186.27
0.72,1.08,0.62
182.14,111.27,49.22
6.28,0.93,0.9
32.53,41.9,19.36
8.01,0.08,0.32
17.9,6.04,6.56
0,0,0
17.22,24.8,43.4
8.08,18.42,149.14
189.62,712.63,1779.56
46.37,76.73,87.4
154.88,198.14,87.34
0,0,0
126.09,55.93,13.61
287.59,288.02,366.2
154.82,923.11,548.74
0,0,0
0.01,0,0.04
0.51,0.03,0.01
12.26,6.03,11.9
9.09,3.21,4.4
13.03,19.04,27.09
0.08,0.01,0.06
62.21,29.55,102.47
0.05,0,0.02
14.25,20.35,40.42
68.07,58.66,32.66
15,3.66,4.23
56.39,71.9,93.97
5.24,2.72,9.05
6.74,9.63,10.02
13.31,14.86,31.64
80.31,120.6,216.82
17.55,23.68,66.43
19.53,15.32,28.52
0.75,0.28,1.08
0.32,0.02,0.08
53.9,28.86,32.77
0,0,0
0,0,0
2.34,7.38,18.64
4.32,11.72,23.46
769.26,841.48,997.31
44.71,54.11,56.11
0,0,0
47.09,117.4,187.67
0.26,0.15,0.68
389.55,128.95,44.95
0.18,0,0
0.14,0.22,0.48
0,0,0
547.49,1048.69,534.78
0,0,0
20.76,9.38,8.85
1.43,0.59,2.65
1.83,4.25,12.72
9.22,22.8,52.31
231.35,513.79,209.35
22.15,80.79,93.94
52.01,126.3,284.37
334.18,884.53,1348.23
34.8,162.72,147
0.62,0.41,0.46
4.67,14.99,68.88
1.19,2.94,10.54
0,0,0.05
0.21,0.06,0.08
14.82,18.98,59.92
43.3,33.39,16.28
0,0,0
0,0,0
0,0,0
2.31,1.92,6.66
1.19,0.88,8.26
94.63,48.53,39.11
0.6,0.95,7.49
154.44,257.78,548
5.18,15.56,45.73
19.1,16.29,7.53
50.79,31.75,16.15
0.59,2.18,10.38
3.97,5.02,4.3
0.06,0,0
62.06,48.94,152
43.82,14.61,12.87
0,0.01,0
140.8,132.66,57.27
0.11,0.23,1.14
11.49,11.8,12.85
54.46,131.63,145.45
71.61,8.44,20.18
5.74,1.18,3.22
89.5,20.65,16.49
1.58,1.9,3.61
0,0,0
21.58,7.3,5
51.43,37.95,91.37
37.88,61.61,137.38
37.19,5.35,6.58
12.97,2.78,1.52
14.34,5.87,7.94
22.4,17.42,85.14
0,0,0
0.01,0,0
62.51,14.23,5.84
0,0,0
0,0.01,0.01
8.02,8.24,35
1.25,0.9,0.46
0.37,0.39,1.62
19.55,6.87,30.94
0,0,0
0,0.02,0.03
7.61,14.05,16.79
30.6,96.98,143.22
37.95,12.31,5.78
0.79,0.27,0.3
0.04,0.01,0
0,0,0
11.75,12.9,5.45
4.61,1.53,1.96
943.93,118.26,99.63
33.61,66.21,343.14
0,0,0
17.21,14.72,21.78
3.62,0.38,0.27
0,0,0
0.19,0.23,0.33
1.94,1.2,1.39
24.32,33.52,54.62
1.19,4.81,14.06
0.34,0.07,0.42
612.03,564.04,138.74
18.58,57.28,155.42
1.76,2.97,4.31
0.08,0,0.02
0.12,0.01,0
0.06,0.01,0.04
3.79,0.59,1.11
170.47,81.24,34.51
0,0,0
0.17,0.01,0
0.46,0.24,0.17
36.34,5.14,3.02
0.34,0.04,0.02
15.65,10.3,14
32.89,30.21,34.75
1.03,0.03,0.03
0.76,0.06,0.24
1.93,0.3,2.43
0.04,0,0.09
0.36,0.16,0.14
0.01,0,0.02
3.18,2.28,80.83
6.27,19.9,54.02
19.94,18.37,164.74
5.02,3.37,1.7
15.5,81.41,89.87
9.31,12.58,63.2
30.24,31,152
0,0,0
102.12,57.94,240.43
141.65,114.5,100.12
0.52,0.26,0.84
11.24,13.79,117.08
0,0,0
23.34,14.19,41.53
8.12,8.8,21.57
2.06,31.99,123.47
0,0,0
0,0,0
0.01,0,0
103.04,144.61,70.88
8.99,17.76,25.75
4.31,4.47,14.76
6.4,57.93,324.25
0.01,0.09,0.89
2.27,5.55,40
0.41,0.82,3.42
3.9,27.86,357.59
0,0.01,0.03
1.36,0.42,0.82
60.25,6.19,47.15
8.19,11.18,50.23
2.42,2.01,8.62
1.48,0.91,2.16
3.03,3.51,4
0.23,0.25,0.41
40.4,125.04,154.65
0,0,0
44.2,13.24,14.44
191.05,512.17,882.98
2.8,0.51,1.05
53.82,141.15,183.17
39.83,75.88,59.74
1.14,0.11,0.32
32.56,8.48,3.56
41.37,72.74,61.96
0,0,0
17.46,2.69,6.51
17.74,8.37,4.62
66.04,85.58,6.21
0.06,0,0
29.57,20.54,26.4
112.91,15.94,7.61
52.98,70.5,561.72
0,0,0
55.91,32.51,24.06
0.01,0,0
34.67,16.72,9.64
4.09,3.25,7.75
17.19,3.03,5.31
12.44,2.91,2.05
89.59,22.28,14.5
4.89,1.96,2.36
20.29,3.61,4.02
11.87,2.77,1.47
0.86,5.4,13.12
26.96,27.84,103.95
10.64,2.11,0.85
0,0.04,0.08
0.01,0.04,0.01
140.17,62.13,41.26
0,0,0
19.22,6.24,4.4
5.49,7.84,140.96
0.75,0.34,1.19
11.72,30.31,28.45
14.18,11.69,54.76
0.93,0.78,1.04
0.68,0.61,0.85
13.3,74.79,65.66
8.16,16.94,37.81
85.35,82.77,38.33
0.01,0,0
0.24,0.07,0.22
0,0.01,0.05
0.68,0.29,4.24
1.55,2.14,3.78
0.49,0.47,0.82
0.05,0.25,3.45
421.99,353.8,173.45
3.17,4.59,9.87
0,0,0
9.24,17.54,25.06
0.05,0,0
0,0.04,0.23
10.29,14.28,20.88
2.23,5.24,46.06
30.81,81.72,159.96
0,0.01,0.05
37.45,49.61,63.65
0,0,0.01
0,0,0.04
9.35,6.47,11.08
0.09,0.09,0.14
49.29,40.04,322.31
0.37,0.21,0.19
0,0,0
3.05,1.69,1.23
1.81,1.54,2.62
0.59,0.84,1.55
0,0,0
95.66,191.57,134.68
0.49,0.1,2.05
30.39,16.43,22.97
0.67,1.55,7.61
10.05,3.62,9.37
38.3,5.58,4.91
0,0,0
136.54,289.77,161.04
35.05,35.49,16.02
3.5,2.37,6.57
8.75,12.73,29.87
0.16,0.32,1.45
12.65,13.16,38.62
0.1,0,0.01
4.92,2.22,6.68
50.39,35.66,11.54
82.21,13.88,9.1
12.01,1.54,1.79
0.45,0.53,2.25
0,0,0
138.15,32.88,21.03
4.28,1.35,4.1
12.31,15.03,40.38
5.36,6.4,25.44
0.11,0.1,0.08
22.7,4.9,3.12
20.73,4.91,0.79
0,0,0
0.02,0,0
79.17,313.48,355.53
116.94,27.75,24.18
0.13,0.09,0.28
0.54,0.14,0.75
58.45,27.95,12.87
4.11,0.95,1.07
37.37,14.39,6.57
0.31,0.27,0.51
3.96,0.4,0.16
10.04,2.9,2.28
75.92,19.66,29.53
75.14,35.87,12.98
0.26,0.23,6.97
3.46,1.37,3.05
2.3,2.24,2.73
0.19,0.12,0.1
29.88,35.17,148.01
114.72,92.42,96.24
58.17,20.54,9.46
29.32,8.92,4.83
1.33,2.25,10.73
0.01,0,0
29.28,14.59,9.42
20.44,4.86,7.61
1.71,0.6,1
2.09,0.18,0.15
4.08,0.64,0.7
1.4,0.74,2.11
9.91,6.99,4.88
9.09,3.58,10.48
61.25,17.02,12.95
0.12,0.14,0.59
0.23,0,0.03
3.61,0.57,1.03
11.21,9.27,17.02
31.3,17.93,10.35
36.18,36.99,40.49
19.19,7.12,11.04
33.86,63.96,130.77
109.03,23.66,8.78
21.31,1.98,3.53
8.7,6.06,22.12
0.21,0.08,0.91
5.82,2.5,2.67
0.68,0.51,0.48
0.08,0.01,0.01
69.75,23.41,5.17
28.94,10.16,10.75
175.35,44.78,38.26
240.31,122.59,118
64.59,55.81,119.16
74.83,33.63,37.55
27.11,10.55,8.62
0.03,0,0
0,0,0
19.41,11.34,8.28
0,0.01,0.06
0.17,0.01,0.08
0,0,0
5.1,4.48,7.37
85.11,43.93,45.42
0.08,0.13,0.89
19.23,40.96,57.34
47.71,36.85,22.2
0.01,0,0.05
0.26,0.2,0.35
15.37,18.41,95.72
0,0,0.01
11.32,12.67,6.14
391.54,883.09,351.29
0.15,0.01,0.05
34.35,42.87,100.65
31.93,28.25,30.37
154.48,151.86,203.5
39.96,6.92,10.13
1.55,0.37,0.5
32.22,3.35,6.27
9.15,1.22,0.61
8.09,10.83,38.45
132.44,124.02,403.84
7.81,3.29,5.94
9.82,22.89,7.18
1.97,7.05,7.47
174.52,15.73,20.52
0.16,0.11,2.13
0.01,0,0
0.25,0.08,0.23
0.08,0,0
75.44,52.01,28.81
0,0,0
0.01,0,0.01
30.15,6.22,5.63
15.76,11.59,15.17
114.98,35.18,60.09
19.9,13.15,12.21
30.21,22.42,14.73
35.61,6.6,5.85
13.69,8.31,18.57
75.6,30.79,25.59
47.24,16.64,6.26
20.98,1.56,1.99
21.27,5.39,6.39
0.65,0.49,1.06
0.74,0.41,0.22
289.12,304.11,70.46
347.11,321.62,202.43
16.71,3.3,20.12
3.86,0.66,0.54
0.01,0.01,0.03
157.3,119.41,45.09
94.13,13.09,7.67
0.65,1.16,12.21
0.07,0.45,2.34
23.54,11.72,26.54
15.06,27.75,153.81
0.05,0.16,0.8
0.26,0.05,0.02
7.81,4,4.56
0.09,0.06,0.01
22.64,7.9,6.19
9.95,4.37,6.09
0.02,0,0
0.46,0.86,9.26
0.34,0.07,0.58
12.1,5.07,1.38
0,0,0
508.48,301.64,142.48
0,0,0
0.03,0.11,0
0.03,0.11,0
0,0,0
0.01,0.02,0.1
3.14,17.09,61.76
27.31,46.71,199.21
2.64,12.27,36.64
10.59,6.9,47.49
0.66,0.19,2.06
2.4,3.07,10.32
0,0.01,0
11.23,28.86,93.33
2.67,0.19,0.28
0.52,0.16,0.93
3.02,7.98,5.07
0.01,0.01,0.1
7.41,27.26,36.49
37.33,21.9,13.07
17.24,13.38,32.86
22.25,10.17,5.05
0,0,0
0.26,0.01,0.04
0,0,0
2.47,1.1,0.75
0.68,0.8,2.98
1.44,0.68,2.7
1.44,0.96,0.91
0.03,0.06,0.87
1754.32,359.48,695.65
38.71,17.11,20.41
40.89,11.75,13.77
18.44,2.99,1.38
7.27,7.45,36.02
27.73,41.09,79.22
28.07,28.68,68.67
26.1,84.27,51.62
0,0,0.01
0,0.15,0.18
77.33,131.56,547.33
0.67,0.91,1.19
60.41,20.21,18.18
0.07,0,0.1
5.71,15.4,39.59
0.2,0.35,3.37
64.3,64.47,145.66
7.12,10.74,27.7
63.37,242.75,351.92
62.1,108.74,33.95
0.05,0.71,1.18
0.03,0,0
0.06,0,0
97.57,23.01,23.23
0.02,0,0
10.47,27.38,74.82
17.7,30.42,56.81
250.2,638.91,311.56
3.57,3.63,16.44
0,0.24,0.71
0.02,0.02,0.03
0.21,0.18,1.26
7.24,16.13,75.42
0.01,0,0.01
0.19,0.1,0.11
2.06,1.96,11.33
25.94,42.16,130.78
0.03,0.02,0.08
57.89,64.32,115.83
20.86,60.16,33.36
23.09,38.91,35.11
21.86,41.72,67.24
84.87,542.5,395.19
10.32,3.13,4.53
21.06,10.41,9.44
10.2,5.14,2.12
10.21,3.34,1.75
5.7,2.59,1.94
1.94,0.89,1.62
0,0,0
0,0,0
4.74,11.29,29.78
0.03,0.01,0.02
0,0,0
25.1,10.88,13.78
466.55,756.81,3535.66
3.34,1.09,2
89.16,102.29,71.15
0,0.01,0.12
111.95,397.36,383.48
11.78,8.64,15.55
15.86,6.13,18.24
1.64,3.15,9.49
4.18,0.63,3.26
8.01,21.98,71.62
0.1,0.01,0.03
11.28,33.03,59.86
4.08,2.66,11.85
4.1,21.38,104.05
51.38,89.8,152.29
6.56,1.8,2.94
0.48,0.13,1.99
80.14,232.67,132.13
40.1,71.78,122.97
0.01,0,0.02
3.71,6.87,43.52
0.13,0,0
0.01,0,0.01
3.81,0.69,0.87
1.42,3.84,4.76
2.75,2.57,3.74
8.31,5.29,9.17
24.08,41.4,37.6
0,0,0
0.2,0.24,1.06
3.68,2.45,19
0,0.01,0.05
0.32,0.15,0.11
0.04,0.05,0.01
0,0.02,0.05
37.09,31.03,19.78
0.03,0.01,0.05
11.49,14.55,98.03
267.25,71.38,20.35
34.16,26.71,76.99
0.21,0.35,0.87
0.7,0.04,0.36
0.45,0.41,5.89
0,0,0
28.79,78.18,115.97
0.51,1.1,2.67
22.5,6.64,21.1
20.23,10.95,39.32
4.36,8.21,36.68
0.17,0.24,0.41
0,0,0
23.96,68.6,793.9
9.31,5.58,12.23
52.25,163.05,274.96
28,10.25,7.01
0.13,0.04,0.08
57.72,44.72,36.54
14.49,13.54,92.3
14.89,18.6,26.29
3.64,3.65,9.76
32.08,18.54,113.69
168.91,221.83,99.21
139.92,102.55,104.09
556.51,1384.95,3502.45
33.49,128.74,217.06
11.8,16.74,45.46
5.2,13.32,64.3
162.34,54.31,54.78
9.44,83.93,110.69
7.32,4.45,16.58
0.96,2.72,6.65
0.07,0.09,0.05
4.58,7.55,33.01
1.32,3.06,9.97
28.33,16.5,20.87
12.67,4.63,13.73
4.02,1.36,3.45
77.22,260.5,61.87
15.38,7.71,8.54
0.72,0.85,1.61
111.62,36.78,81.94
0.09,0.02,0.04
7.76,10.96,84.5
17.48,10.04,12.26
23.29,46.48,129.49
46.13,149.87,517.69
0.14,0.08,0.28
6.93,8.78,34.2
69.87,54.95,243.47
1.92,0.29,0.15
2.57,3.16,12.48
0.13,0.06,0.53
104.18,76.49,54.43
4.5,4.47,33.46
0.49,1.46,2.35
8.47,7.18,12.54
14.78,17.54,75.7
5.71,2.19,7.02
0.1,0.09,0.42
12.23,20.06,65.57
12.1,9.96,6.99
79.76,22.34,22.06
14.77,7.51,15.47
0.42,0.76,3.21
0,0,0
0.56,0.04,0.46
